rooms,area,bathrooms,toilets,facades_number,number_floors,build_year,has_terrace,has_garden,has_garage,elevator,is_furnished,leased,running_water,primary_energy_consumption,postal_code,cadastral_income,has_swimming_pool,property_type_house,property_type_other,locality_antwerp,locality_braine-l-alleud,locality_brussels,locality_gent,locality_laken,locality_liege,locality_lier,locality_mons,locality_mouscron,locality_namur,locality_nivelles,locality_oostende,locality_other,locality_pont-a-celles,locality_roeselare,locality_seraing,locality_tournai,locality_tubize,locality_turnhout,locality_wavre,property_subtype_duplex,property_subtype_other,property_subtype_residence,property_subtype_studio,property_subtype_villa,has_equipped_kitchen_Not equipped,has_equipped_kitchen_Partially equipped,has_equipped_kitchen_Super equipped,y_true,y_pred_oof,loss
6.0,312.0,3.0,3.0,4.0,1.0,2008.0,1,1,1,0,0,0.0,1.0,28.0,4950,1745.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,758000.0,837527.9010931514,79527.90109315142
4.0,207.0,2.0,3.0,4.0,3.0,1990.0,0,1,1,0,0,0.0,1.0,193.0,3800,1028.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,440000.0,529449.1328562994,89449.1328562994
6.0,300.0,2.0,3.0,4.0,2.0,2012.0,1,1,1,0,0,0.0,1.0,34.0,1440,2350.0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,995000.0,856733.2664574076,138266.73354259238
1.0,73.0,1.0,1.0,2.0,3.0,2008.0,1,1,1,1,0,0.0,1.0,170.0,4031,959.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,290000.0,207867.55483874245,82132.44516125755
6.0,230.0,1.0,1.0,3.0,4.0,2010.0,0,1,1,0,0,0.0,1.0,364.0,9400,803.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,299000.0,362685.1512133056,63685.1512133056
15.0,758.0,1.0,5.0,4.0,3.0,1937.0,0,0,0,0,0,0.0,1.0,232.0,7100,803.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,549000.0,838407.5796646039,289407.5796646039
4.0,310.0,4.0,4.0,4.0,2.0,1930.0,1,1,1,0,0,0.0,1.0,210.0,3080,803.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,1750000.0,892386.1308757551,857613.8691242449
3.0,120.0,1.0,1.0,2.0,3.0,2024.0,1,1,1,0,0,0.0,1.0,232.0,7100,803.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,210000.0,274353.8721284834,64353.872128483374
3.0,161.0,1.0,2.0,4.0,3.0,2000.0,1,1,1,0,0,0.0,1.0,160.0,4845,1246.0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,540000.0,482627.6083100221,57372.3916899779
2.0,71.0,1.0,1.0,3.0,3.0,2010.0,1,0,1,1,0,0.0,1.0,91.0,8500,780.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,198000.0,259226.6403571816,61226.6403571816
