rooms,area,bathrooms,toilets,facades_number,number_floors,build_year,has_terrace,has_garden,has_garage,elevator,is_furnished,leased,running_water,primary_energy_consumption,postal_code,cadastral_income,has_swimming_pool,property_type_house,property_type_other,locality_antwerp,locality_braine-l-alleud,locality_brussels,locality_gent,locality_laken,locality_liege,locality_lier,locality_mons,locality_mouscron,locality_namur,locality_nivelles,locality_oostende,locality_other,locality_pont-a-celles,locality_roeselare,locality_seraing,locality_tournai,locality_tubize,locality_turnhout,locality_wavre,property_subtype_duplex,property_subtype_other,property_subtype_residence,property_subtype_studio,property_subtype_villa,has_equipped_kitchen_Not equipped,has_equipped_kitchen_Partially equipped,has_equipped_kitchen_Super equipped,y_true,y_pred_oof,loss
2.0,88.0,1.0,1.0,3.0,2.0,2024.0,1,0,0,0,0,0.0,1.0,85.0,6800,803.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,259900.0,265216.3457699014,5316.345769901411
4.0,118.0,2.0,2.0,2.0,2.0,1900.0,1,1,0,0,0,1.0,1.0,221.0,4030,549.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,159000.0,189203.88704784648,30203.88704784648
3.0,190.0,1.0,1.0,4.0,3.0,2010.0,1,1,1,0,0,0.0,1.0,339.0,7060,803.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,399000.0,340053.39621663897,58946.60378336103
2.0,145.0,1.0,1.0,2.0,3.0,1850.0,1,0,0,0,0,0.0,1.0,120.0,1800,803.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,375000.0,329000.7428737303,45999.25712626969
2.0,89.0,1.0,1.0,2.0,5.0,2024.0,1,0,0,0,0,0.0,1.0,232.0,6230,803.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,255400.0,262305.0890101702,6905.089010170195
2.0,120.0,1.0,1.0,3.0,7.0,2010.0,1,1,1,0,0,0.0,1.0,0.0,3500,803.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,411000.0,434680.80029386736,23680.80029386736
2.0,78.0,1.0,1.0,2.0,9.0,1964.0,0,0,0,1,0,0.0,1.0,184.0,4020,946.0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,150000.0,158182.57218678683,8182.572186786827
1.0,60.0,1.0,1.0,2.0,10.0,2010.0,1,0,0,1,0,1.0,1.0,112.0,4032,818.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,125000.0,151513.0993397745,26513.09933977449
3.0,180.0,1.0,1.0,3.0,3.0,1974.0,0,1,1,0,0,0.0,1.0,180.0,9041,803.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,489000.0,425299.0870144759,63700.912985524104
3.0,170.0,1.0,2.0,3.0,2.0,1870.0,0,1,1,0,0,0.0,1.0,523.0,4357,605.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,281000.0,217523.22434581947,63476.77565418053
2.0,87.0,1.0,1.0,3.0,1.0,2024.0,1,1,0,1,0,0.0,1.0,70.0,6183,803.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,225000.0,241852.82297084853,16852.82297084853
1.0,66.0,1.0,1.0,3.0,6.0,2024.0,1,1,1,1,0,0.0,1.0,85.0,1300,803.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,295000.0,324047.911531992,29047.911531992024
3.0,430.0,1.0,1.0,3.0,3.0,2024.0,0,1,1,0,0,0.0,1.0,232.0,9310,803.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,375550.0,379922.650122787,4372.6501227869885
3.0,105.0,1.0,1.0,4.0,1.0,1964.0,1,1,1,0,0,0.0,1.0,388.0,4020,500.0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,209000.0,227831.15919539763,18831.15919539763
4.0,147.0,1.0,2.0,4.0,3.0,2010.0,0,1,0,0,0,0.0,1.0,232.0,7100,803.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,394372.0,326478.44838692853,67893.55161307147
4.0,160.0,2.0,2.0,2.0,3.0,2024.0,1,1,1,0,0,0.0,1.0,232.0,1800,803.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,496200.0,456700.0789800566,39499.92101994337
2.0,150.0,1.0,1.0,3.0,2.0,1930.0,1,1,1,0,0,0.0,1.0,482.0,6230,803.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,190000.0,234154.07473686858,44154.074736868584
1.0,85.0,1.0,1.0,3.0,3.0,2010.0,1,0,0,0,0,0.0,1.0,232.0,9700,803.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,285426.0,296877.4143066842,11451.414306684223
3.0,134.0,1.0,2.0,4.0,3.0,2010.0,1,1,1,0,0,0.0,1.0,278.0,4950,803.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,449000.0,364280.96307765547,84719.03692234453
2.0,63.0,1.0,2.0,3.0,4.0,1975.0,0,0,1,1,0,0.0,1.0,424.0,6534,1011.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,139999.0,136595.63001676093,3403.3699832390703
4.0,131.0,1.0,1.0,2.0,3.0,2010.0,0,0,1,0,0,1.0,1.0,452.0,4820,415.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,169000.0,136021.2068065303,32978.7931934697
2.0,112.0,1.0,1.0,2.0,3.0,2010.0,1,1,0,0,0,0.0,1.0,708.0,7700,381.0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,129000.0,122348.58466389094,6651.4153361090575
3.0,758.0,1.0,1.0,4.0,3.0,2024.0,0,1,1,0,0,0.0,1.0,232.0,5070,803.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,316050.0,291981.9758263386,24068.024173661426
4.0,162.0,1.0,1.0,2.0,3.0,2010.0,0,1,1,0,0,0.0,1.0,741.0,4400,803.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,105000.0,211571.906147806,106571.906147806
4.0,151.0,1.0,2.0,2.0,2.0,2010.0,1,1,0,0,0,0.0,1.0,399.0,4040,637.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,259000.0,207714.09550838248,51285.90449161752
3.0,113.0,1.0,1.0,3.0,3.0,2024.0,1,1,1,1,0,0.0,1.0,232.0,2200,803.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,361500.0,380772.98271478945,19272.982714789454
3.0,129.0,2.0,2.0,3.0,3.0,2024.0,1,0,1,1,0,0.0,1.0,0.0,9820,803.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,720000.0,558232.195237935,161767.80476206494
3.0,128.0,1.0,1.0,2.0,1.0,2010.0,0,0,1,0,0,0.0,1.0,232.0,7700,803.0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,317000.0,279222.3520254879,37777.647974512074
2.0,94.0,1.0,1.0,4.0,2.0,2010.0,1,0,0,0,0,0.0,1.0,232.0,8570,803.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,299680.0,299765.16123463627,85.16123463626718
3.0,130.0,1.0,1.0,3.0,2.0,2010.0,1,1,0,0,0,0.0,1.0,232.0,3583,803.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,397500.0,407940.6017722923,10440.601772292284
1.0,69.0,1.0,1.0,2.0,3.0,2024.0,1,0,0,1,0,0.0,1.0,232.0,8400,803.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,280000.0,262478.5461631053,17521.45383689471
1.0,60.0,1.0,1.0,2.0,3.0,1969.0,1,0,0,0,0,0.0,1.0,232.0,1080,914.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,145000.0,179353.09923579753,34353.099235797534
3.0,167.0,1.0,1.0,3.0,3.0,2010.0,0,0,0,0,0,0.0,1.0,232.0,8800,803.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,314794.0,329586.31682844675,14792.316828446754
4.0,160.0,1.0,1.0,3.0,2.0,2010.0,1,1,0,0,0,0.0,1.0,134.0,1800,781.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,415000.0,403799.1511483849,11200.848851615097
5.0,195.0,1.0,2.0,2.0,3.0,2010.0,1,0,0,0,0,0.0,1.0,339.0,4100,803.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,185000.0,218366.49266667812,33366.492666678125
1.0,81.0,1.0,1.0,2.0,4.0,1866.0,1,0,0,0,0,1.0,1.0,149.0,1000,803.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,269000.0,448924.53126021795,179924.53126021795
2.0,109.0,1.0,1.0,3.0,3.0,1979.0,1,0,1,0,0,0.0,1.0,166.0,2100,803.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,199950.0,254096.5428662602,54146.54286626019
3.0,106.0,1.0,1.0,3.0,2.0,2024.0,1,0,0,1,0,0.0,1.0,232.0,3582,803.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,377000.0,352491.8772931644,24508.122706835624
3.0,279.0,2.0,3.0,4.0,3.0,2010.0,1,1,1,0,0,0.0,1.0,76.0,7500,1048.0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,590000.0,669330.8843687719,79330.88436877192
2.0,118.0,1.0,1.0,2.0,2.0,1920.0,1,1,0,0,0,0.0,1.0,509.0,7170,421.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,149999.0,105795.10169840099,44203.89830159901
4.0,425.0,3.0,3.0,2.0,2.0,2010.0,1,0,1,0,0,0.0,1.0,144.0,1800,1150.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,359000.0,1101617.3491021267,742617.3491021267
